,count,mean,std,min,25%,50%,75%,max
spend_velocity,200.0,113767.19259688,66171.2667457553,11993.019041,51591.333232749996,107600.711411,167428.8696095,262491.896137
utilization_pct,200.0,81.389853475,18.171118742281344,21.361811,78.43559725,86.580885,92.09884375,108.600267
days_since_last_txn,200.0,2.875,7.502721449296158,0.0,0.0,1.0,3.0,89.0
daily_variance,200.0,217653370531.67706,271709719420.82083,2645270292.853231,46893428869.24013,127688227849.53607,283453094240.831,1632902101883.2498
end_period_spike_ratio,200.0,0.10125168000000002,0.06452564907788384,0.0,0.08296500000000001,0.083333,0.083333,0.301887
transaction_count,200.0,120.935,30.748955532369852,36.0,112.75,134.0,141.25,165.0
avg_transaction_size,200.0,354228.46258341,206959.97393132903,49641.346712,194919.511061,333454.1336385,482501.61231500003,962134.00814
budget_remaining_ratio,200.0,0.187656715,0.17988485612074653,0.0,0.0790115,0.134191,0.21564375,0.786382
anomaly_score,200.0,-0.4456927368317547,0.0691776353736976,-0.6934113584844213,-0.4913789037162265,-0.41580773870622334,-0.39484837232407854,-0.3711739526581454
